"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.61912","97.14286","94.40407","94.75524","90.21592","90.5599","88.19797","93.18612","95.58824","95.13303","96.24258","94.7861","","","96.57064","101.18056","","","","",
"Afghanistan","AFG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","16.79457","","","18.0492","19.83513","","26.61916","33.06739","","","18.20004","18.90908","","","","","","","","29.06965","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","41.09705","36.05377","","","","","","","","","28.5553","","","","","","","","","","","","","","","","","39.27019","38.83918","39.80642","46.08611","","","","","","","",
"Albania","ALB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.02439","","","","97.07321","96.88066","","94.90243","93.87088","","","96.6291","92.83022","91.51228","89.23734","93.27701","98.9117","90.97441","105.00212","104.46819","105.6041","106.73229","",
"Andorra","AND","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","49.6947","49.61061","49.22137","50.70793","52.15216","55.05638","56.59075","58.59352","57.90308","53.69866","56.69319","60.0555","60.77613","61.92503","64.24416","68.24466","67.29388","67.16341","67.54725","67.66311","68.91237","68.87973","69.61591","69.79498","70.59632","71.59276","72.59833","73.39941","74.34024","75.26448","74.81662","75.9484","76.85677","79.32916","81.26309","82.1227","80.57208","82.61857","84.81435","83.49507","85.27578","85.90082","87.21677","84.70348","85.2557","84.70376","84.07993","84.26708","",
"United Arab Emirates","ARE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","39.088","41.20807","48.78446","55.89371","59.73071","64.61905","66.9854","71.11978","80.47976","79.88308","76.88124","73.02932","74.63995","75.0894","73.4687","80.83627","89.60274","96.03876","94.51808","92.03414","90.80233","88.81563","84.85301","86.83647","84.43131","83.09341","79.81954","76.23124","80.13654","","","","","97.16235","","","","","95.00613","96.98742","100.74221","105.18609","","","",
"Argentina","ARG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","70.72267","71.57397","","","75.31338","78.72014","78.63938","","","","","","","","","","","","","","","","","","98.68091","","93.61887","92.18072","100.08652","98.21764","98.49374","98.08649","102.03072","99.92382","98.56286","96.68479","99.1332","101.8526","105.0635","104.98595","104.80953","104.42371","103.23137","100.88289","101.81076","101.48019","102.44548","","",
"Armenia","ARM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.2638","","","93.8955","","","","","93.70739","89.27276","100.04747","92.69158","93.81121","102.06714","105.79002","","94.49523","93.80897","93.8984","","96.64122","94.36655","90.38732","91.61159","",
"American Samoa","ASM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","78.42582","77.71588","","","","","","","","","","","","","","","","83.78588","","","","","","","","","","","","","","","","95.27697","88.0856","93.78238","91.06113","","","92.81084","76.87277","","","",
"Australia","AUS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","94.99666","96.87254","97.0621","","","","","","","","","","","","","","","","","","","","","","","","","100.91772","100.87488","","","100.2222","","98.7443","","","","","","","96.77202","96.62232","97.43841","98.45986","100.181","99.65672","","",
"Azerbaijan","AZE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.44946","93.98862","91.50957","82.40272","99.47011","95.40026","92.1731","89.51351","95.16858","97.58601","92.69615","95.59543","93.43062","91.60543","98.13037","90.73683","91.77172","89.51445","92.80683","91.99119","88.08941","98.12571","103.28021","111.30191","107.17217","",
"Burundi","BDI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","5.82457","","10.82768","10.97067","11.67647","10.94462","11.21404","11.28722","11.47471","11.73275","12.08743","14.48926","19.80545","27.24201","28.54611","29.66597","29.18306","40.12095","33.97499","41.88653","46.41981","49.64769","53.11211","","","","","","","24.92617","25.35312","25.85553","30.42914","32.72387","34.94944","","39.5006","42.34246","49.00309","52.08395","56.97446","63.94147","72.20919","71.32177","66.4269","69.79504","70.35004","",
"Belgium","BEL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","67.98804","69.60117","70.51772","72.43759","74.49121","67.96523","68.04034","74.23994","76.79476","71.67524","75.10009","73.31643","72.09045","71.35023","73.08248","","","79.33482","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","18.20833","21.27856","21.73355","20.57695","25.22241","25.13122","24.51638","26.68091","28.04579","29.93704","31.09344","33.60303","36.3956","29.75931","33.74224","30.75686","29.6745","27.33658","27.02061","18.79125","21.3861","21.65839","23.79172","25.74076","30.2515","32.36267","34.78397","37.52402","","37.80433","41.67732","43.78899","48.11963","51.87132","","","","63.6705","","66.71161","71.68802","73.04138","78.60624","79.45534","81.14126","80.74556","","",
"Burkina Faso","BFA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","7.19572","6.79262","7.03776","6.79653","7.6261","7.55316","8.55744","8.74263","9.5608","9.32447","10.29991","10.54666","11.30796","12.30674","13.90582","","15.82594","16.91584","16.58723","19.4958","19.95185","26.68047","26.24488","27.11621","18.59446","22.57244","","","23.46804","25.42222","26.67762","27.48547","29.11165","30.42653","31.73658","32.80562","34.97427","38.86926","43.91451","47.05522","","57.36603","62.34419","60.84963","62.02993","61.72434","63.51909","",
"Bangladesh","BGD","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","43.26663","31.59358","","","","28.48989","","","","","","","","45.63055","","","","","","","","","","","","","","","","64.26167","","","57.16793","63.3551","65.58008","","","","","","","118.55204","",
"Bulgaria","BGR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","96.87452","97.46989","96.94503","102.33551","93.29413","93.76828","91.17985","92.02788","102.42054","103.41517","100.23919","96.54852","93.68314","99.46344","110.21694","99.52626","102.707","102.47993","101.41536","99.10794","89.23729","87.50995","85.99205","88.21007","87.88853","90.35151","94.48644","93.963","96.08091","96.16508","101.75696","96.56479","97.79368","98.64636","98.6425","99.28571","101.25301","95.09795","101.68577","113.35305","110.24718","101.94011","99.16465","98.44125","97.51864","94.63206","","",
"Bahrain","BHR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","93.017","89.71205","91.14696","93.62425","90.69027","92.79666","99.65445","105.09182","","102.98175","100.89286","99.6645","94.57149","93.93596","92.05882","","94.39054","100.38539","98.78815","96.67663","100.53318","100.10331","102.04712","101.62845","","","","","","89.47138","93.21469","94.44688","96.6057","98.71094","99.51365","100.88384","",
"Bahamas, The","BHS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.31102","","","","","82.31936","","","","","","106.70209","103.79014","105.21195","101.15677","99.94811","93.11499","","","","","","98.74377","","",
"Bosnia and Herzegovina","BIH","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","101.90102","101.0776","104.12961","99.45607","98.40597","97.45731","96.19829","98.80655","98.85561","100.05574","99.76434","99.53153","99.67055","99.41468","98.22606","98.46469","","","","94.50446","94.20622","89.58398","95.98373","97.8513","95.52417","95.10315","95.28128","","98.12522","101.6339","106.01896","131.79738","102.51667","102.06292","98.24602","97.04594","95.73657","98.5452","105.22239","106.27768","107.14169","103.32163","99.57216","98.21013","96.75593","97.35472","100.89255","",
"Belize","BLZ","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.92244","","","89.16447","95.67039","","","98.93544","100.03341","100.81809","","97.27328","97.69423","98.51152","97.52193","99.06199","94.95664","99.73688","100.78125","104.00569","108.09913","101.72458","102.12578","104.40428","105.67742","103.02438","",
"Bermuda","BMU","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","72.1694","","","","","","","","","","","","","","","","","","","","","","","","","","96.69421","102.52404","100.36675","95.39801","95.36341","93.6409","","","","99.87578","90.70632","87.79285","88.94349","79.31034","81.19552","","","",
"Bolivia","BOL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.77041","98.73998","96.01155","92.40764","90.46405","91.31645","92.86689","",
"Brazil","BRA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.22961","114.19943","109.36661","100.68465","","","","","","","","","","","","","","",
"Barbados","BRB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.90099","98.39069","106.10086","103.50358","106.63695","97.68484","91.67086","93.93862","92.29971","94.60026","95.74749","95.61658","98.21896","","","","","","","",
"Brunei Darussalam","BRN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","105.97932","105.65018","111.18421","98.00518","110.15047","103.82118","101.51589","100.54801","89.5039","90.80334","80.80404","82.80808","57.22352","","123.63359","","","","","98.54566","99.71207","98.21176","101.03111","99.27599","","109.20255","115.25558","116.61053","114.80815","121.67613","117.53295","119.99123","111.28146","107.35931","107.68566","107.49107","105.36371","101.97784","105.35389","110.92974","106.99311","106.10853","100.13226","102.06525","","106.52208","",
