"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.08239","19.27892","21.82276","21.32039","19.75715","","14.89786","18.90071","","20.7888","19.0362","21.53726","22.14366","21.74546","20.63408","21.87459","19.61272","22.85499","","","",
"Afghanistan","AFG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.06756","16.04843","10.3568","14.1028","14.46593","12.509","16.2117","15.66138","",
"Angola","AGO","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.11468","","5.25508","","","","","7.99235","7.45479","","","","8.68477","","","","","","","","",
"Albania","ALB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.15339","9.62407","9.68246","10.13703","10.58193","9.88692","10.5736","10.70316","11.35797","10.93295","11.17719","","","","","","12.12391","","11.3177","13.59696","7.52363","",
"Andorra","AND","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.04025","9.9616","10.17952","9.66893999999999","18.95694","",
"Arab World","ARB","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.74871","","","","13.184705","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.02373","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.39877","","15.62227","15.88009","16.22635","16.35638","16.44243","14.35487","15.13944","15.80361","15.51","15.10436","15.74789","16.02104","15.04833","15.15894","14.51861","14.45832","13.79967","14.03127","13.45118","","",
"Armenia","ARM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.64809","13.57852","13.46559","14.26845","13.45122","12.40051","12.59334","12.36897","11.13676","9.36712","10.65636","10.1972","","",
"American Samoa","ASM","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.43941","","","11.70154","","","","","","","6.92814","","","","","","","","","",
